IssueType,Epic,Summary,Description,Priority,Owner,Dependencies,EvidencePath,Labels
Task,M1 Gate1 - 权限/归属,[M1][权限/归属] 按「权限矩阵」补齐关键接口（至少覆盖高风险写接口）,"WBS: M1-E12.2
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 权限/归属

验收/DoD:
越权用例（403/404）+ 测试通过

证据归档路径建议:
evidence/M1/Security/

依赖:
设计稿2(权限矩阵)

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/安全,设计稿2(权限矩阵),evidence/M1/Security/,"M1,Gate1"
Task,M1 Gate1 - 权限/归属,[M1][权限/归属] 403/404 策略固化（避免探测资源存在性）,"WBS: M1-E12.3
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 权限/归属

验收/DoD:
至少 2 个接口演示 403/404 行为

证据归档路径建议:
evidence/M1/Security/

依赖:
设计稿2(权限矩阵)

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/安全,设计稿2(权限矩阵),evidence/M1/Security/,"M1,Gate1"
Epic,M1 Gate1 - 审计,M1 Gate1 - 审计: 审计日志框架：requestId 贯穿；audit_log 表落库；关键动作写入 before/after 摘要（避免 PII）,"Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 审计
排期验收: 审计样本导出（含 requestId/actor/action/entity）
依赖: 设计稿3(审计)+DB migrations
排期备注: 防呆: 审计写入封装（统一调用点） | 防安全事故: 可追溯/排障/回滚定位 | 防安全漏洞: 敏感动作可审计 | 防返工: 先定字段再扩展

来源: 排期表 Sheet 工程排期_任务拆解 行 18",P0,后端/DBA,设计稿3(审计)+DB migrations,,"M1,Gate1"
Task,M1 Gate1 - 审计,[M1][审计] audit_log 表可用（migrations 已落地）+ 索引/字段核对,"WBS: M1-E13.1
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 审计

验收/DoD:
schema 截图；字段包含 requestId/org_id/actor/action/entity

证据归档路径建议:
evidence/M1/Audit/

依赖:
设计稿3(审计)+DB migrations

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(审计)+DB migrations,evidence/M1/Audit/,"M1,Gate1"
Task,M1 Gate1 - 审计,[M1][审计] 关键动作写审计（create/update/delete/下载/导出等）并避免 PII,"WBS: M1-E13.2
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 审计

验收/DoD:
导出样本 10 条；不含 PII

证据归档路径建议:
evidence/M1/Audit/

依赖:
设计稿3(审计)+DB migrations

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(审计)+DB migrations,evidence/M1/Audit/,"M1,Gate1"
Task,M1 Gate1 - 审计,[M1][审计] 审计写入封装（统一调用点）,"WBS: M1-E13.3
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 审计

验收/DoD:
示例：任一写接口自动写审计；代码结构

证据归档路径建议:
evidence/M1/Audit/

依赖:
设计稿3(审计)+DB migrations

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(审计)+DB migrations,evidence/M1/Audit/,"M1,Gate1"
Epic,M1 Gate1 - 数据隔离,M1 Gate1 - 数据隔离: org_id 注入/隔离：从会话推导 org_id；DB session set_config(app.org_id)；关键表 org_id 约束/索引；越权不可见测试,"Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 数据隔离
排期验收: schema 截图 + 越权用例（跨 org 403/404/空集）
依赖: 设计稿3(org_id/RLS)+PG_SQL落地清单
排期备注: 防呆: ORM/Query 强制注入 org_id | 防安全事故: 防数据串库/污染 | 防安全漏洞: 防数据泄露 | 防返工: ERD/迁移先定版

来源: 排期表 Sheet 工程排期_任务拆解 行 19",P0,后端/DBA,设计稿3(org_id/RLS)+PG_SQL落地清单,,"M1,Gate1"
Task,M1 Gate1 - 数据隔离,[M1][数据隔离] 从会话推导 org_id，并在 DB session set_config(app.org_id) 注入,"WBS: M1-E14.1
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 数据隔离

验收/DoD:
DB 中 current_setting('app.org_id') 可见；日志证明

证据归档路径建议:
evidence/M1/Security/

依赖:
设计稿3(org_id/RLS)+PG_SQL落地清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(org_id/RLS)+PG_SQL落地清单,evidence/M1/Security/,"M1,Gate1"
Task,M1 Gate1 - 数据隔离,[M1][数据隔离] 关键表 org_id 约束/索引 + RLS（如启用）验证,"WBS: M1-E14.2
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 数据隔离

验收/DoD:
schema 截图；EXPLAIN/索引证明

证据归档路径建议:
evidence/M1/DB/

依赖:
设计稿3(org_id/RLS)+PG_SQL落地清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(org_id/RLS)+PG_SQL落地清单,evidence/M1/DB/,"M1,Gate1"
Task,M1 Gate1 - 数据隔离,[M1][数据隔离] 越权不可见测试（跨 org 返回 404/空集）,"WBS: M1-E14.3
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 数据隔离

验收/DoD:
至少 3 条用例记录（含截图/日志）

证据归档路径建议:
evidence/M1/Security/

依赖:
设计稿3(org_id/RLS)+PG_SQL落地清单

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端/DBA,设计稿3(org_id/RLS)+PG_SQL落地清单,evidence/M1/Security/,"M1,Gate1"
Epic,M1 Gate1 - 并发控制,M1 Gate1 - 并发控制: If-Match/ETag(row_version) 落地：至少 Property/Document 1 个资源支持 412/428；提供冲突复现脚本,"Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 并发控制
排期验收: 并发冲突复现证据（412/428 + ErrorCode）
依赖: 设计稿4(并发控制)+OpenAPI v1.0.6
排期备注: 防呆: 写接口强制 If-Match | 防安全事故: 防数据丢失（后写覆盖） | 防安全漏洞: 并发门禁 + 统一错误码 | 防返工: 并发口径一次性写死

来源: 排期表 Sheet 工程排期_任务拆解 行 20",P0,后端,设计稿4(并发控制)+OpenAPI v1.0.6,,"M1,Gate1"
Task,M1 Gate1 - 并发控制,[M1][并发控制] 选定 1 个资源实现 row_version + ETag（建议 Property/Document）,"WBS: M1-E15.1
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 并发控制

验收/DoD:
GET 返回 ETag；PATCH 成功后 ETag 增长

证据归档路径建议:
evidence/M1/Concurrency/

依赖:
设计稿4(并发控制)+OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,设计稿4(并发控制)+OpenAPI v1.0.6,evidence/M1/Concurrency/,"M1,Gate1"
Task,M1 Gate1 - 并发控制,[M1][并发控制] If-Match 缺失返回 428；过期返回 412（含 ErrorCode）,"WBS: M1-E15.2
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 并发控制

验收/DoD:
curl 复现记录；contract tests 覆盖

证据归档路径建议:
evidence/M1/Concurrency/

依赖:
设计稿4(并发控制)+OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,设计稿4(并发控制)+OpenAPI v1.0.6,evidence/M1/Concurrency/,"M1,Gate1"
Task,M1 Gate1 - 并发控制,[M1][并发控制] 提供冲突复现脚本（基于 evidence_scripts/concurrency_conflict_demo.sh）,"WBS: M1-E15.3
Gate: 安全基线（Auth/RBAC/审计/并发）
模块/端: 并发控制

验收/DoD:
脚本可一键跑通；输出保存

证据归档路径建议:
evidence/M1/Concurrency/

依赖:
设计稿4(并发控制)+OpenAPI v1.0.6

来源:
本落地包生成（基于排期+清单+设计稿）",P0,后端,设计稿4(并发控制)+OpenAPI v1.0.6,evidence/M1/Concurrency/,"M1,Gate1"
Epic,M1 Gate1 - 网关/兼容,M1 Gate1 - 网关/兼容: /api→/v1 rewrite + 打点：STAGING 保留 rewrite；/api 请求日志/指标；联调/contract tests 只跑 /v1,"Gate: 工程化打底+三环境
模块/端: 网关/兼容
排期验收: 网关配置截图 + /api 调用日志样例
依赖: M0 API 兼容与下线计划
排期备注: 防呆: CI/测试只允许 /v1 | 防安全事故: 避免旧路径混用导致事故 | 防安全漏洞: 网关限流/CORS 入口统一 | 防返工: 下线节奏按 Gate 执行

来源: 排期表 Sheet 工程排期_任务拆解 行 21",P0,DevOps/后端,M0 API 兼容与下线计划,,"M1,Gate1"
Task,M1 Gate1 - 网关/兼容,[M1][网关/兼容] /api → /v1 rewrite（STAGING 保留）并记录 /api 调用日志/指标,"WBS: M1-E16.1
Gate: 工程化打底+三环境
模块/端: 网关/兼容

验收/DoD:
网关配置截图 + 日志样例

证据归档路径建议:
evidence/M1/Gateway/

依赖:
M0 API 兼容与下线计划

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,M0 API 兼容与下线计划,evidence/M1/Gateway/,"M1,Gate1"
Task,M1 Gate1 - 网关/兼容,[M1][网关/兼容] contract tests/SDK 只跑 /v1（禁止 /api）,"WBS: M1-E16.2
Gate: 工程化打底+三环境
模块/端: 网关/兼容

验收/DoD:
CI 规则证明；README 说明

证据归档路径建议:
evidence/M1/Gateway/

依赖:
M0 API 兼容与下线计划

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,M0 API 兼容与下线计划,evidence/M1/Gateway/,"M1,Gate1"
Task,M1 Gate1 - 网关/兼容,[M1][网关/兼容] 按《API 兼容与下线计划》固化下线节奏与公告模板,"WBS: M1-E16.3
Gate: 工程化打底+三环境
模块/端: 网关/兼容

验收/DoD:
计划文档引用 + 里程碑日期清楚

证据归档路径建议:
evidence/M1/Gateway/

依赖:
M0 API 兼容与下线计划

来源:
本落地包生成（基于排期+清单+设计稿）",P0,DevOps/后端,M0 API 兼容与下线计划,evidence/M1/Gateway/,"M1,Gate1"
